locationID,Latitude,Longitude
AKA,52.2203,-174.2064
AKH,35.2028,-81.15
AKI,60.9028,-161.2306
AKK,56.9386,-154.1825
AKN,58.6764,-156.6486
AKO,40.1756,-103.2219
AKP,68.1336,-151.7433
AKQ,36.9872,-77.0011
AKR,41.0375,-81.4669
AKW,55.5792,-133.0761
ALB,42.7492,-73.8019
ALI,27.7409,-98.0269
ALM,32.84,-105.9906
ALN,38.8903,-90.0461
ALO,42.5572,-92.4003
ALS,37.435,-105.8667
ALW,46.0947,-118.2889
ALX,32.9147,-85.9631
AMA,35.2194,-101.7058
AMG,31.5361,-82.5067
AMN,43.3222,-84.6881
AMT,38.8514,-83.5664
AMW,41.9919,-93.6219
ANB,33.5881,-85.8581
ANC,61.1744,-149.9964
AND,34.4944,-82.7094
ANE,45.145,-93.2103
ANI,61.5817,-159.5431
ANJ,46.4792,-84.3683
ANK,38.5383,-106.0486
ANN,55.0425,-131.5722
ANP,38.9428,-76.5683
ANQ,41.6397,-85.0836
ANV,62.6467,-160.1906
ANW,42.5792,-99.9931
ANY,37.1586,-98.0797
AOC,43.6036,-113.3342
AOH,40.7069,-84.0267
AOO,40.2964,-78.32
AOV,36.9719,-92.6819
APA,39.57,-104.8494
APC,38.2133,-122.2806
APF,26.1523,-81.7758
APG,39.4661,-76.1689
APH,38.0689,-77.3183
APN,45.0781,-83.5603
APT,35.0606,-85.5853
APV,34.5753,-117.1861
APY,26.9688,-99.2489
AQH,59.755,-161.8453
AQO,30.7836,-98.6619
AQP,45.2275,-96.0044
AQR,34.3983,-96.1481
AQT,70.21,-151.0056
AQW,42.6961,-73.1703
AQY,60.9661,-149.1258
ARA,30.0378,-91.8839
ARB,42.2231,-83.7456
ARC,68.1147,-145.5794
ARG,36.1247,-90.925
ARM,29.2542,-96.1544
ARR,41.7719,-88.4756
ART,43.9919,-76.0217
ARV,45.9278,-89.7308
ARW,32.4122,-80.6344
ASD,30.3464,-89.8208
ASE,39.2231,-106.8689
ASG,36.1764,-94.1192
ASH,42.7817,-71.5147
ASJ,36.2975,-77.1708
ASL,32.5206,-94.3078
ASN,33.5694,-86.0511
AST,46.1581,-123.8786
ASW,41.2747,-85.84
ASX,46.5486,-90.9189
ASY,46.0239,-99.3525
ATA,33.1017,-94.1953
ATK,70.4672,-157.4358
ATL,33.6367,-84.4281
ATS,32.8525,-104.4678
ATU,52.8283,-173.1803
ATW,44.2581,-88.5192
ATY,44.9139,-97.1547
AUG,44.3206,-69.7972
AUH,40.8942,-97.9944
AUK,62.68,-164.66
AUM,43.6628,-92.9328
AUN,38.9547,-121.0817
AUO,32.615,-85.4339
AUS,30.1944,-97.67
AUW,44.9264,-89.6269
AVC,36.6883,-78.0544
AVK,36.7731,-98.67
AVL,35.4361,-82.5417
AVO,27.5913,-81.5289
AVP,41.3383,-75.7233
AVQ,32.4094,-111.2183
AVX,33.405,-118.4158
AWG,41.275,-91.6753
AWI,70.6381,-159.9947
AWK,19.28,-166.6417
AWM,35.135,-90.2344
AWO,48.1608,-122.1589
AXA,43.0778,-94.2719
AXH,29.5061,-95.4769
AXN,45.8664,-95.3947
AXQ,41.225,-79.4422
AXS,34.6989,-99.3383
AXV,40.4936,-84.2981
AXX,36.4219,-105.29
AYS,31.2492,-82.3956
AYX,35.3925,-86.0858
AZC,36.96,-113.0139
AZE,31.8847,-82.6475
AZO,42.2344,-85.5517
AZU,35.275,-94.2253
BAB,39.1361,-121.4364
BAD,32.5019,-93.6625
BAF,42.1578,-72.7156
BAK,39.2619,-85.8964
BAM,40.5992,-116.8744
BAX,43.7803,-82.9856
BAZ,29.7044,-98.0422
BBB,45.3319,-95.6506
BBD,31.1792,-99.3239
BBG,36.5322,-93.2006
BBP,34.6217,-79.7344
BBW,41.4364,-99.6422
BCB,37.2078,-80.4078
BCE,37.7064,-112.1458
BCK,44.2508,-90.8553
BCT,26.3785,-80.1078
BCV,61.4161,-149.5083
BDE,48.7283,-94.6122
BDG,37.5833,-109.4833
BDH,45.1178,-95.1306
BDJ,46.1375,-89.6461
BDL,41.9389,-72.6833
BDN,44.0944,-121.2003
BDQ,35.1361,-92.7136
BDR,41.1633,-73.1261
BDU,40.0394,-105.2258
BEA,28.3619,-97.7911
BEC,37.6944,-97.215
BED,42.47,-71.2892
BEH,42.1286,-86.4286
BET,60.7797,-161.8381
BFA,45.1658,-84.9242
BFD,41.8031,-78.64
BFE,33.1731,-102.1931
BFF,41.8739,-103.5956
BFI,47.53,-122.3019
BFK,36.8633,-99.6186
BFL,35.4339,-119.0578
BFM,30.6267,-88.0681
BFR,38.84,-86.4453
BFW,47.2489,-91.4156
BGD,35.7008,-101.3936
BGE,30.9717,-84.6369
BGF,35.1775,-86.0661
BGM,42.2086,-75.9797
BGQ,61.5361,-149.8139
BGR,44.8075,-68.8281
BHB,44.4497,-68.3617
BHC,31.7139,-82.3939
BHK,46.3478,-104.2594
BHM,33.5639,-86.7522
BID,41.1681,-71.5778
BIE,40.3014,-96.7542
BIF,31.8494,-106.38
BIG,63.995,-145.72
BIH,37.3731,-118.3636
BIJ,31.3975,-84.8947
BIL,45.8078,-108.5428
BIS,46.7728,-100.7458
BIV,42.7428,-86.1072
BIX,30.4106,-88.9244
BJC,39.9089,-105.1172
BJI,47.5108,-94.9347
BJJ,40.8747,-81.8883
BKD,32.7189,-98.8917
BKE,44.8372,-117.8092
BKF,39.7017,-104.7517
BKH,22.0228,-159.785
BKL,41.5175,-81.6833
BKN,36.745,-97.3494
BKS,27.206,-98.1211
BKT,37.0744,-77.9572
BKV,28.4736,-82.4556
BKW,37.7872,-81.1242
BKX,44.3047,-96.8169
BLF,37.2958,-81.2078
BLG,61.1722,-151.0439
BLH,33.6192,-114.7169
BLI,48.7928,-122.5375
BLM,40.1869,-74.125
BLU,39.275,-120.7097
BLV,38.5453,-89.8353
BMC,41.5525,-112.0622
BMG,39.1461,-86.6167
BMI,40.4772,-88.9158
BML,44.5753,-71.1758
BMQ,30.7389,-98.2386
BMT,30.0703,-94.215
BNA,36.1244,-86.6783
BNG,33.9225,-116.8506
BNL,33.2578,-81.3883
BNO,43.5919,-118.9556
BNW,42.0494,-93.8475
BOI,43.5644,-116.2228
BOK,42.0744,-124.29
BOS,42.3631,-71.0064
BOW,27.9433,-81.7833
BPC,35.8892,-101.03
BPG,32.2125,-101.5217
BPI,42.585,-110.1111
BPK,36.3689,-92.4706
BPP,46.1869,-103.4281
BPT,29.9508,-94.0206
BQK,31.2592,-81.4664
BQN,18.4949,-67.1294
BQP,32.7561,-91.8806
BQR,42.9222,-78.6122
BRD,46.4017,-94.1356
BRL,40.7833,-91.1256
BRO,25.9068,-97.4258
BRW,71.2856,-156.7661
BRY,37.8144,-85.4997
BSF,19.76,-155.5539
BST,44.4094,-69.0119
BTA,41.4147,-96.1089
BTF,40.8694,-111.9272
BTI,70.1339,-143.5819
BTL,42.3072,-85.2514
BTM,45.9547,-112.4975
BTN,45.815,-97.7428
BTP,40.7767,-79.9511
BTR,30.5328,-91.15
BTT,66.9139,-151.5292
BTV,44.4719,-73.1533
BTY,36.8611,-116.7869
BUB,41.7767,-99.1497
BUF,42.9406,-78.7322
BUM,38.2897,-94.34
BUR,34.2006,-118.3586
BUU,42.6908,-88.3047
BUY,36.0486,-79.475
BVI,40.7725,-80.3914
BVK,65.9817,-161.1492
BVN,41.7286,-98.0558
BVO,36.7642,-96.0111
BVS,48.4708,-122.4208
BVU,35.9475,-114.8611
BVX,35.7261,-91.6475
BVY,42.5842,-70.9161
BWC,32.9931,-115.5169
BWD,31.7936,-98.9564
BWG,36.9644,-86.4197
BWI,39.1753,-76.6683
BWP,46.2442,-96.6072
BXA,30.8136,-89.865
BXG,33.0414,-82.0028
BXK,33.4206,-112.6861
BYA,64.0783,-141.1133
BYG,44.3811,-106.7217
BYH,35.9644,-89.9439
BYI,42.5425,-113.7717
BYS,35.2806,-116.63
BYY,28.9733,-95.8633
